feature,importance
rank_diff,0.26369306226414146
points_diff,0.20409162815543933
away_fifa_rank,0.05459848359366455
h2h_avg_goal_diff,0.05253462973976163
home_fifa_rank,0.05037590354019238
away_fifa_points,0.03612538971735343
home_fifa_points,0.028394330440328696
h2h_away_win_rate,0.027887469120245804
h2h_home_win_rate,0.022992375130200627
home_avg_goals_conceded,0.018828884107366273
away_ranking_momentum,0.016035494433711543
away_avg_goals_conceded,0.015999212569092053
home_avg_points,0.015423400976109811
away_form_goal_diff,0.015123339815957875
home_ranking_momentum,0.014061308214020329
home_form_goal_diff,0.011895407546263838
away_avg_points,0.011020248768264462
h2h_days_since_last,0.010429138350402023
home_form_goals_conceded,0.009774047631670528
is_neutral,0.009006377202161336
h2h_avg_total_goals,0.008963880759254634
h2h_total,0.008729092599146521
away_form_goals_conceded,0.00851408371563103
home_avg_goals_scored,0.00845142680944455
home_form_points,0.007964524980499498
away_avg_goals_scored,0.007652840696458224
away_form_points,0.006387520786743087
h2h_draw_rate,0.005938445834990826
home_win_loss_streak,0.0053429381114718545
home_form_goals_scored,0.005268661236527795
home_win_rate,0.005033527751894612
away_win_rate,0.00487379708957234
home_clean_sheet_rate,0.004748345436355478
away_form_goals_scored,0.004624627497100969
is_world_cup,0.0045946379402671675
away_win_loss_streak,0.004047626986071636
away_clean_sheet_rate,0.0038754342935725687
home_draw_rate,0.0034856819976418303
away_draw_rate,0.0031747950496596893
is_knockout,3.797911134758793e-05
